backend,mode,dist,batch_size,rank,max_rank,sum_rank,bs_x_max_rank,total_tokens,num_unique,mean_ms,std_ms,rank_pattern
triton,decode,homo,4,8,8,32,32,4,4,1.3810851216316222,0.028598126863287106,
triton,decode,homo,4,16,16,64,64,4,4,1.3270713579654694,0.054158256339108216,
triton,decode,homo,4,32,32,128,128,4,4,1.2725740766525269,0.025021632606926327,
triton,decode,homo,4,64,64,256,256,4,4,1.2887695968151092,0.03202014332813516,
triton,decode,homo,8,8,8,64,64,8,4,1.264473601579666,0.00811763216044572,
triton,decode,homo,8,16,16,128,128,8,4,1.272189439535141,0.023280522588303657,
triton,decode,homo,8,32,32,256,256,8,4,1.2615903961658477,0.012563338389489358,
triton,decode,homo,8,64,64,512,512,8,4,1.2601039922237396,0.016631197325829815,
triton,decode,homo,16,8,8,128,128,16,4,1.2907584047317504,0.1931998270744306,
triton,decode,homo,16,16,16,256,256,16,4,1.2741385638713836,0.043258508601648385,
triton,decode,homo,16,32,32,512,512,16,4,1.3241740846633911,0.0657366252621172,
triton,decode,homo,16,64,64,1024,1024,16,4,1.2756102430820464,0.01134914479651831,
triton,decode,homo,32,8,8,256,256,32,4,1.2681881618499755,0.017029207618926376,
triton,decode,homo,32,16,16,512,512,32,4,1.2642390394210816,0.024729628874408802,
triton,decode,homo,32,32,32,1024,1024,32,4,1.333719688653946,0.19735046136465087,
triton,decode,homo,32,64,64,2048,2048,32,4,1.31754079580307,0.04585122114189007,
triton,decode,homo,64,8,8,512,512,64,4,1.3030601561069488,0.03961063973408282,
triton,decode,homo,64,16,16,1024,1024,64,4,1.2881382393836975,0.02246027496754848,
triton,decode,homo,64,32,32,2048,2048,64,4,1.260615040063858,0.026912360866738386,
triton,decode,homo,64,64,64,4096,4096,64,4,1.6159923207759856,0.017997023046951246,
triton,decode,hetero,16,,8,128,128,16,4,1.2654489552974701,0.018217661694915104,homo_8
triton,decode,hetero,16,,16,256,256,16,4,1.2614691162109375,0.024374717866024565,homo_16
triton,decode,hetero,16,,32,512,512,16,4,1.3397804832458495,0.2791357653523193,homo_32
triton,decode,hetero,16,,64,1024,1024,16,4,1.2987190353870393,0.20427131975090065,homo_64
triton,decode,hetero,16,,64,576,1024,16,8,1.2717555177211761,0.016955152855056877,mixed_8_64
triton,decode,hetero,16,,64,640,1024,16,8,1.377795202732086,0.08930089628856332,mixed_16_64
triton,decode,hetero,16,,64,480,1024,16,16,1.366910718679428,0.1612962726076343,four_rank
triton,decode,hetero,16,,64,352,1024,16,8,1.4845132780075074,0.38937152916874945,skewed_8_64
triton,decode,hetero,16,,64,640,1024,16,8,1.3120950400829314,0.04094570945140084,skewed_32_64
csgmv,decode,homo,4,8,8,32,32,4,4,1.2352636790275573,0.04536862854786843,
csgmv,decode,homo,4,16,16,64,64,4,4,1.3218876802921296,0.4451377497183363,
csgmv,decode,homo,4,32,32,128,128,4,4,1.2615139281749725,0.2148416663776435,
csgmv,decode,homo,4,64,64,256,256,4,4,1.183541121482849,0.0284880105104337,
csgmv,decode,homo,8,8,8,64,64,8,4,1.1939999985694885,0.028417707949712698,
csgmv,decode,homo,8,16,16,128,128,8,4,1.2700355219841004,0.03957649557268633,
csgmv,decode,homo,8,32,32,256,256,8,4,1.2525254464149476,0.20943333502434422,
csgmv,decode,homo,8,64,64,512,512,8,4,1.378038079738617,0.37654682641474746,
csgmv,decode,homo,16,8,8,128,128,16,4,1.5823980808258056,0.39644998981916224,
csgmv,decode,homo,16,16,16,256,256,16,4,1.2002335977554321,0.04569869728940672,
csgmv,decode,homo,16,32,32,512,512,16,4,1.184900484085083,0.019381538992803996,
csgmv,decode,homo,16,64,64,1024,1024,16,4,1.339788157939911,0.434501187839938,
csgmv,decode,homo,32,8,8,256,256,32,4,1.406391681432724,0.4967870443282383,
csgmv,decode,homo,32,16,16,512,512,32,4,1.2716371190547944,0.120055691075094,
csgmv,decode,homo,32,32,32,1024,1024,32,4,1.2302332782745362,0.1331337893196673,
csgmv,decode,homo,32,64,64,2048,2048,32,4,1.1979081702232361,0.054979316574928584,
csgmv,decode,homo,64,8,8,512,512,64,4,1.2359635198116303,0.20417500639573186,
csgmv,decode,homo,64,16,16,1024,1024,64,4,1.3234816074371338,0.44881988522557525,
csgmv,decode,homo,64,32,32,2048,2048,64,4,1.2058534395694733,0.032114786022838376,
csgmv,decode,homo,64,64,64,4096,4096,64,4,1.197524802684784,0.04218071764936624,
csgmv,decode,hetero,16,,8,128,128,16,4,1.2037859237194062,0.051254403981507414,homo_8
csgmv,decode,hetero,16,,16,256,256,16,4,1.2520550429821014,0.19255678593758818,homo_16
csgmv,decode,hetero,16,,32,512,512,16,4,1.2479267287254334,0.19704399092027106,homo_32
csgmv,decode,hetero,16,,64,1024,1024,16,4,1.1769686424732209,0.016339028080166504,homo_64
csgmv,decode,hetero,16,,64,576,1024,16,8,1.2754835212230682,0.268874580211472,mixed_8_64
csgmv,decode,hetero,16,,64,640,1024,16,8,1.3487443244457245,0.3212946892950169,mixed_16_64
csgmv,decode,hetero,16,,64,480,1024,16,16,1.224579839706421,0.055443721635644164,four_rank
csgmv,decode,hetero,16,,64,352,1024,16,8,1.4142652821540833,0.45449611581655774,skewed_8_64
csgmv,decode,hetero,16,,64,640,1024,16,8,1.1950617623329163,0.016111619013224658,skewed_32_64
